municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Abaíra,2900108,140.0,342.8,534.4,7.65,Rua da Misericórdia,"-12.974331, -38.512191",Abaíra,"-13.251333, -41.664738"
Abaré,2900207,278.0,477.4,552.0,7.75,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Edesio Tolentino,"-8.721852, -39.114348"
Acajutiba,2900306,241.0,155.5,185.1,2.9,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Saturnino de Menezes,"-11.66086, -38.018958"
Adustina,2900355,377.0,274.4,378.3,5.69,Rua da Misericórdia,"-12.974331, -38.512191",Avenida José Joaquim de Santana,"-10.537244, -38.116823"
Água Fria,2900405,368.0,124.9,156.9,2.3,Rua da Misericórdia,"-12.974331, -38.512191",Estrada para o Açude,"-11.87741, -38.76617"
Aiquara,2900603,237.0,196.4,412.0,6.12,Rua da Misericórdia,"-12.974331, -38.512191",Aiquara,"-14.126905, -39.888606"
Alagoinhas,2900702,15.0,144.3,167.1,2.63,Rua da Misericórdia,"-12.974331, -38.512191",Alagoinhas,"-11.800591, -37.945209"
Alcobaça,2900801,125.0,513.1,841.4,14.0,Rua da Misericórdia,"-12.974331, -38.512191",Praça São Bernardo,"-17.541317, -39.192218"
Almadina,2900900,324.0,227.5,455.5,7.34,Rua da Misericórdia,"-12.974331, -38.512191",Rua Mestre Antônio,"-14.703672, -39.638227"
Amargosa,2901007,74.0,118.4,231.9,3.6,Rua da Misericórdia,"-12.974331, -38.512191",Rua Riachuelo,"-13.030105, -39.603976"
Amélia Rodrigues,2901106,30.0,68.8,88.6,1.22,Rua da Misericórdia,"-12.974331, -38.512191",Rua da França,"-12.402044, -38.75251"
América Dourada,2901155,329.0,360.0,430.9,6.55,Rua da Misericórdia,"-12.974331, -38.512191",Rua Nestor Borges,"-11.451523, -41.435756"
Anagé,2901205,395.0,337.0,541.1,7.98,Rua da Misericórdia,"-12.974331, -38.512191",Rua João Paulo,"-14.613477, -41.137954"
Andaraí,2901304,353.0,306.2,423.4,5.54,Rua da Misericórdia,"-12.974331, -38.512191",Rua Joaquim Espínola,"-12.806797, -41.332577"
Andorinha,2901353,210.0,325.9,426.1,6.02,Rua da Misericórdia,"-12.974331, -38.512191",Rua do Cruzeiro,"-10.344698, -39.833419"
Angical,2901403,74.0,680.3,860.1,11.8,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Horácio de Souza,"-12.005607, -44.699825"
Anguera,2901502,206.0,121.3,156.0,2.22,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Felipe Pedreira Brandão,"-12.151295, -39.245796"
Antas,2901601,187.0,285.6,356.3,5.33,Rua da Misericórdia,"-12.974331, -38.512191",Praça Dois de Julho,"-10.411543, -38.330775"
Antônio Cardoso,2901700,329.0,89.0,149.7,2.07,Rua da Misericórdia,"-12.974331, -38.512191",Antônio Cardoso,"-12.436356, -39.120126"
Antônio Gonçalves,2901809,165.0,328.9,398.2,5.46,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Pinto Guerra,"-10.571491, -40.274875"
Aporá,2901908,374.0,153.5,191.7,3.01,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Inácio,"-11.659858, -38.079429"
Apuarema,2901957,362.0,165.3,332.4,5.28,Rua da Misericórdia,"-12.974331, -38.512191",Apuarema,"-13.85195, -39.745698"
Araçás,2902054,301.0,91.2,106.1,1.68,Rua da Misericórdia,"-12.974331, -38.512191",Rua Praça da Matriz,"-12.212853, -38.200682"
Aracatu,2902005,246.0,357.1,537.0,8.32,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pedro Afonso Cangussu,"-14.429345, -41.459071"
Araci,2902104,402.0,188.5,221.0,3.17,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Pinheiro,"-11.337422, -38.963079"
Aramari,2902203,210.0,98.2,127.6,2.03,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Bela Vista,"-12.090776, -38.49876"
Arataca,2902252,339.0,272.2,491.7,7.82,Rua da Misericórdia,"-12.974331, -38.512191",Arataca,"-15.261565, -39.412535"
Aratuípe,2902302,278.0,54.2,198.4,3.11,Rua da Misericórdia,"-12.974331, -38.512191",Beco da Glória,"-13.077161, -39.000831"
Aurelino Leal,2902401,307.0,173.2,366.7,5.83,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pedro Elias,"-14.316538, -39.325557"
Baianópolis,2902500,206.0,658.0,812.3,11.06,Rua da Misericórdia,"-12.974331, -38.512191",Baianópolis,"-12.306799, -44.538072"
Baixa Grande,2902609,225.0,211.8,262.8,3.9,Rua da Misericórdia,"-12.974331, -38.512191",Rua Joaquim Pamponet Pires,"-11.962749, -40.166055"
Banzaê,2902658,253.0,266.4,336.1,5.06,Rua da Misericórdia,"-12.974331, -38.512191",Banzaê,"-10.580453, -38.613079"
Barra,2902708,347.0,313.2,478.4,7.38,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor João Moisés de Oliveira,"-13.627078, -41.328014"
Barra da Estiva,2902807,278.0,313.2,478.4,7.38,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor João Moisés de Oliveira,"-13.627078, -41.328014"
Barra do Choça,2902906,366.0,306.2,507.2,7.55,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Roduzindo Santos,"-14.863864, -40.576572"
